D_DONO,D_IVNO,D_MODEL,D_DELWH,D_TRUCKNO,D_PLNO,D_PLTYPE,H_DELWH,H_CTNO,H_ETD,H_ORDTYPE,H_DELBIT,Model,C_CUSTOMER_NAME,C_CUSTOMER_CODE,H_LOADDATE
8100046182,'E231019,JP035AEAXSV#T,,02,'22501492D6209,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22501492D6209,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22501492D6216,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22501492D6216,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22501492D6216,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22507492D6003,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22507492D6003,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22507492D6003,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22507492D6010,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22507492D6010,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22507492D6010,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAYSV#T,,02,'22517492D6972,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAYSV#T,,02,'22517492D6972,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAYSV#T,,02,'22517492D6972,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAYSV#T,,02,'22517492D6974,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAYSV#T,,02,'22517492D6974,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAYSV#T,,02,'22517492D6974,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAYSV#T,,02,'22517492D6978,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAYSV#T,,02,'22517492D6978,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAYSV#T,,02,'22517492D6978,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D5988,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D5988,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D5988,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D5991,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D5991,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D5991,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D5995,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D5995,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D5995,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D6000,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D6000,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAXSV#T,,02,'22507492D6000,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAYSV#T,,02,'22501492D6221,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAYSV#T,,02,'22501492D6221,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAYSV#T,,02,'22501492D6221,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAYSV#T,,02,'22501492D6229,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAYSV#T,,02,'22501492D6229,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAYSV#T,,02,'22501492D6229,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAYSV#T,,02,'22501492D6230,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAYSV#T,,02,'22501492D6230,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP057AEAYSV#T,,02,'22501492D6230,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8518,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8518,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8518,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8526,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8526,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8526,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8530,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8530,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8530,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8532,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8532,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8532,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8535,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8535,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8535,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8537,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8537,SV9-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VD@T3,,02,'22016492D8537,SV9-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JT100G-VDLW@T,,03,'22517492D6980,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
